DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.123804	12	3	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.123839	12	3	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.124054	12	4	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.124071	12	4	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.124304	12	4	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.124554	12	4	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.124571	12	4	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.124804	12	4	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.124839	12	4	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.125054	12	5	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.125107	12	5	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.125304	12	5	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.125339	12	5	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.125554	12	5	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.125571	12	5	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.125804	12	5	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.126054	12	6	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.126071	12	6	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.126304	12	6	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.126339	12	6	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.126554	12	6	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.126607	12	6	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.126804	12	6	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.126839	12	6	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.127054	12	7	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.127071	12	7	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.127304	12	7	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.127554	12	7	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.127571	12	7	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.127804	12	7	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.127839	12	7	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.128054	12	8	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.128107	12	8	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.128304	12	8	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.128339	12	8	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.128554	12	8	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.128571	12	8	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.128804	12	8	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.129054	12	9	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.129071	12	9	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.129304	12	9	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.129339	12	9	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.129554	12	9	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.129607	12	9	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.129804	12	9	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.129839	12	9	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.130054	13	0	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.130071	13	0	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.130304	13	0	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.130554	13	0	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.130571	13	0	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.130804	13	0	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.130839	13	0	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.131054	13	1	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.131107	13	1	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.131304	13	1	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.131339	13	1	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.131554	13	1	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.131571	13	1	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.131804	13	1	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.132054	13	2	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.132071	13	2	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.132304	13	2	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.132339	13	2	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.132554	13	2	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.132607	13	2	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.132804	13	2	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.132839	13	2	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.133054	13	3	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.133071	13	3	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.133304	13	3	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.133554	13	3	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.133571	13	3	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.133804	13	3	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.133839	13	3	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.134054	13	4	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.134107	13	4	0	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.134304	13	4	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.134339	13	4	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.134554	13	4	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.134571	13	4	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.134804	13	4	3	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.135054	13	5	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.135071	13	5	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.135304	13	5	1	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.135339	13	5	1	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.135554	13	5	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.135607	13	5	2	3	3	1	1	0	6306	28	0	256.54 	0	0
DL	0.135804	13	5	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.135839	13	5	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.136054	13	6	0	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.136071	13	6	0	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.136304	13	6	1	1	2	1	1	0	4205	28	0	256.54	0	0
DL	0.136554	13	6	2	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.136571	13	6	2	3	1	1	1	0	2104	28	0	256.54 	0	0
DL	0.136804	13	6	3	1	2	1	1	0	4205	28	0	256.54	0	0
UL	0.136839	13	6	3	3	2	1	1	0	4205	28	0	256.54 	0	0
DL	0.137054	13	7	0	1	2	1	1	0	4205	28	0	256.54	0	0
